"Springfield, OH ",89.4
"State College, PA ",102.1
"Staunton Waynesboro, VA ",88.4
"Stockton Lodi, CA ",100.7
"Sumter, SC ",88.8
"Syracuse, NY ",95.4
"Tallahassee, FL ",95
"Tampa St. Petersburg Clearwater, FL ",99.5
"Terre Haute, IN ",88.1
"Texarkana, TX AR ",88.2
"The Villages, FL ",89.4
"Toledo, OH ",90
"Topeka, KS ",89.8
"Trenton, NJ ",112.2
"Tucson, AZ ",97.3
"Tulsa, OK ",91.1
"Tuscaloosa, AL ",88
"Tyler, TX ",94.7
"Urban Honolulu, HI ",122.5
"Utica Rome, NY ",92.7
"Valdosta, GA ",81.8
"Vallejo Fairfield, CA ",115
"Victoria, TX ",92.9
"Vineland Bridgeton, NJ ",103.6
"Virginia Beach Norfolk Newport News, VA NC ",98.8
"Visalia Porterville, CA ",95.6
"Waco, TX ",91.2
"Walla Walla, WA ",93.2
"Warner Robins, GA ",90
"Washington Arlington Alexandria, DC VA MD WV ",119.8
"Waterloo Cedar Falls, IA ",91.3
"Watertown Fort Drum, NY ",98.5
"Wausau, WI ",92.2
"Weirton Steubenville, WV OH ",87.5
"Wenatchee, WA ",96
"Wheeling, WV OH ",86.3
"Wichita, KS ",91.3
"Wichita Falls, TX ",91
"Williamsport, PA ",93.7
"Wilmington, NC ",94.7
"Winchester, VA WV ",92.1
"Winston Salem, NC ",90.3
"Worcester, MA CT ",104.1
"Yakima, WA ",95.4
"York Hanover, PA ",95.8
"Youngstown Warren Boardman, OH PA ",88.7
"Yuba City, CA ",98.9
"Yuma, AZ ",93.1
,
,
