244,244,'Trinity International University',"Deerfield, IL",$27360
245,245,'University of Akron',"Akron, OH",in-state: $10320 out-of-state: $18851
246,246,'University of Alaska--Fairbanks',"Fairbanks, AK",in-state: $6752 out-of-state: $20072
247,247,'University of Arkansas--Little Rock',"Little Rock, AR",in-state: $7909 out-of-state: $18979
248,248,'University of Colorado--Denver',"Denver, CO",in-state: $9625 out-of-state: $26105
249,249,'University of Louisiana--Lafayette',"Lafayette, LA",in-state: $6948 out-of-state: $19348
250,250,'University of Massachusetts--Boston',"Boston, MA",in-state: $11966 out-of-state: $28390
251,251,'University of Memphis',"Memphis, TN",in-state: $8619 out-of-state: $13275
252,252,'University of Missouri--St. Louis',"St. Louis, MO",in-state: $9474 out-of-state: $24795
253,253,'University of Nebraska--Omaha',"Omaha, NE",in-state: $6750 out-of-state: $18070
254,254,'University of Nevada--Las Vegas',"Las Vegas, NV",in-state: $6690 out-of-state: $20600
255,255,'University of New Orleans',"New Orleans, LA",in-state: $7482 out-of-state: $21092
256,256,'University of Northern Colorado',"Greeley, CO",in-state: $7573 out-of-state: $18817
257,257,'University of North Texas',"Denton, TX",in-state: $9706 out-of-state: $20566
258,258,'University of South Alabama',"Mobile, AL",in-state: $6948 out-of-state: $13596
259,259,'University of Southern Mississippi',"Hattiesburg, MS",in-state: $6744 out-of-state: $15024
260,260,'University of Texas--Arlington',"Arlington, TX",in-state: $8878 out-of-state: $20274
261,261,'University of Texas--El Paso',"El Paso, TX",in-state: $7018 out-of-state: $17639
262,262,'University of Texas--San Antonio',"San Antonio, TX",in-state: $8737 out-of-state: $20050
263,263,'University of Toledo',"Toledo, OH",in-state: $9280 out-of-state: $19158
264,264,'University of West Florida',"Pensacola, FL",in-state: $8942 out-of-state: $21824
265,265,'University of Wisconsin--Milwaukee',"Milwaukee, WI",in-state: $9882 out-of-state: $19610
266,266,'Wayne State University',"Detroit, MI",in-state: $12350 out-of-state: $26592
267,267,'Wichita State University',"Wichita, KS",in-state: $7267 out-of-state: $16697
268,268,'Wright State University',"Dayton, OH",in-state: $8730 out-of-state: $16910
269,269,'Alliant International University',"San Diego, CA",$19930
270,270,'Argosy University',"Orange, CA",$13663
271,271,'California Institute of Integral Studies',"San Francisco, CA",$25713
272,272,'Capella University',"Minneapolis, MN",$12348
273,273,'Colorado Technical University',"Colorado Springs, CO",$11300
274,274,'Idaho State University',"Pocatello, ID",in-state: $6344 out-of-state: $18676
275,275,'Northcentral University',"Prescott Valley, AZ",N/A
276,276,'Trident University International',"Cypress, CA",$6600
277,277,'Union Institute and University',"Cincinnati, OH",$11904
278,278,'University of Phoenix',"Phoenix, AZ",N/A
279,279,'Walden University',"Minneapolis, MN",$14300
280,280,'Wilmington University',"New Castle, DE",$10190
